1-Wire/iButton Part Number: DS1923,,
1-Wire/iButton Registration Number: 5D0000002990D141,,
Mission in Progress?  true,,
SUTA Mission?  false,,
Waiting for Temperature Alarm?  false,,
Sample Rate:  Every 14400 second(s),,
Mission Start Time:  Fri Nov 15 01:16:01 MST 2013,,
Mission Sample Count:  701,,
Roll Over Enabled?  true(no rollover occurred),,
First Sample Timestamp:  Fri Nov 15 01:16:01 MST 2013,,
Total Mission Samples:  701,,
Total Device Samples:  7481,,
Temperature Logging:  0.5 C,,
Temperature High Alarm:  disabled,,
Temperature Low Alarm:  disabled,,
Data Logging:  0.6 %RH,,
Data High Alarm:  disabled,,
Data Low Alarm:  disabled,,
,,
Date/Time,Unit,Value
12/9/13 1:16,%RH,95.71
12/9/13 5:16,%RH,96.659
12/9/13 9:16,%RH,91.85
12/9/13 13:16,%RH,81.225
12/9/13 17:16,%RH,87.383
12/9/13 21:16,%RH,92.824
12/10/13 1:16,%RH,96.185
12/10/13 5:16,%RH,98.538
12/10/13 9:16,%RH,92.338
12/10/13 13:16,%RH,79.121
12/10/13 17:16,%RH,85.865
12/10/13 21:16,%RH,90.868
12/11/13 1:16,%RH,92.338
12/11/13 5:16,%RH,93.309
12/11/13 9:16,%RH,88.887
12/11/13 13:16,%RH,74.291
12/11/13 17:16,%RH,79.649
12/11/13 21:16,%RH,83.304
12/12/13 1:16,%RH,85.356
12/12/13 5:16,%RH,85.865
12/12/13 9:16,%RH,99.467
12/12/13 13:16,%RH,101.763
12/12/13 17:16,%RH,103.121
12/12/13 21:16,%RH,104.465
12/13/13 1:16,%RH,104.018
12/13/13 5:16,%RH,105.352
12/13/13 9:16,%RH,103.121
12/13/13 13:16,%RH,97.601
12/13/13 17:16,%RH,103.571
12/13/13 21:16,%RH,106.672
12/14/13 1:16,%RH,109.267
12/14/13 5:16,%RH,110.543
12/14/13 9:16,%RH,109.694
12/14/13 13:16,%RH,97.601
12/14/13 17:16,%RH,103.121
12/14/13 21:16,%RH,107.543
12/15/13 1:16,%RH,109.267
12/15/13 5:16,%RH,109.267
12/15/13 9:16,%RH,105.352
12/15/13 13:16,%RH,97.601
12/15/13 17:16,%RH,103.121
12/15/13 21:16,%RH,106.672
12/16/13 1:16,%RH,107.977
12/16/13 5:16,%RH,107.977
12/16/13 9:16,%RH,104.465
12/16/13 13:16,%RH,96.185
12/16/13 17:16,%RH,102.67
12/16/13 21:16,%RH,105.352
12/17/13 1:16,%RH,108.408
12/17/13 5:16,%RH,108.408
12/17/13 9:16,%RH,104.465
12/17/13 13:16,%RH,93.793
12/17/13 17:16,%RH,102.67
12/17/13 21:16,%RH,105.794
12/18/13 1:16,%RH,108.408
12/18/13 5:16,%RH,108.839
