H2M2_1,Port 1,Port 2,Port 3,Port 4,Port 5
1769 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
10/23/2013 10:00 AM,0.261,0.246,0.262,0.215,
10/23/2013 12:00 PM,0.318,0.305,0.325,0.272,
10/23/2013 2:00 PM,0.320,0.312,0.331,0.274,
10/23/2013 4:00 PM,0.324,0.318,0.338,0.277,
10/23/2013 6:00 PM,0.325,0.319,0.339,0.278,
10/23/2013 8:00 PM,0.326,0.313,0.334,0.280,
10/23/2013 10:00 PM,0.324,0.309,0.329,0.278,
10/24/2013 12:00 AM,0.322,0.306,0.327,0.277,
10/24/2013 2:00 AM,0.321,0.303,0.324,0.275,
10/24/2013 4:00 AM,0.320,0.301,0.322,0.273,
10/24/2013 6:00 AM,0.319,0.299,0.320,0.272,
10/24/2013 8:00 AM,0.318,0.298,0.318,0.271,
10/24/2013 10:00 AM,0.316,0.298,0.319,0.269,
10/24/2013 12:00 PM,0.316,0.301,0.324,0.271,
10/24/2013 2:00 PM,0.318,0.309,0.330,0.273,
10/24/2013 4:00 PM,0.322,0.315,0.337,0.277,
10/24/2013 6:00 PM,0.324,0.316,0.339,0.278,
10/24/2013 8:00 PM,0.324,0.311,0.333,0.281,
10/24/2013 10:00 PM,0.323,0.306,0.328,0.279,
10/25/2013 12:00 AM,0.321,0.302,0.325,0.277,
10/25/2013 2:00 AM,0.320,0.300,0.323,0.275,
10/25/2013 4:00 AM,0.319,0.299,0.321,0.273,
10/25/2013 6:00 AM,0.318,0.297,0.319,0.272,
10/25/2013 8:00 AM,0.317,0.296,0.318,0.271,
10/25/2013 10:00 AM,0.315,0.295,0.318,0.270,
10/25/2013 12:00 PM,0.314,0.299,0.323,0.269,
10/25/2013 2:00 PM,0.317,0.306,0.329,0.271,
10/25/2013 4:00 PM,0.321,0.312,0.336,0.275,
10/25/2013 6:00 PM,0.322,0.313,0.338,0.277,
10/25/2013 8:00 PM,0.323,0.308,0.332,0.279,
10/25/2013 10:00 PM,0.322,0.303,0.327,0.277,
10/26/2013 12:00 AM,0.320,0.300,0.324,0.275,
10/26/2013 2:00 AM,0.319,0.298,0.322,0.273,
10/26/2013 4:00 AM,0.317,0.296,0.320,0.271,
10/26/2013 6:00 AM,0.316,0.295,0.319,0.271,
10/26/2013 8:00 AM,0.316,0.294,0.318,0.270,
10/26/2013 10:00 AM,0.314,0.293,0.318,0.268,
