H2M1_1,Port 1,Port 2,Port 3,Port 4,Port 5
2170 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
4/25/2013 2:00 PM,0.277,0.337,0.325,0.331,
4/25/2013 4:00 PM,0.283,0.354,0.340,0.347,
4/25/2013 6:00 PM,0.286,0.353,0.341,0.348,
4/25/2013 8:00 PM,0.287,0.351,0.341,0.348,
4/25/2013 10:00 PM,0.286,0.347,0.339,0.347,
4/26/2013 12:00 AM,0.284,0.344,0.338,0.346,
4/26/2013 2:00 AM,0.282,0.342,0.336,0.344,
4/26/2013 4:00 AM,0.281,0.341,0.335,0.343,
4/26/2013 6:00 AM,0.279,0.339,0.333,0.342,
4/26/2013 8:00 AM,0.278,0.338,0.332,0.341,
4/26/2013 10:00 AM,0.276,0.342,0.333,0.342,
4/26/2013 12:00 PM,0.277,0.348,0.334,0.343,
4/26/2013 2:00 PM,0.280,0.353,0.337,0.346,
4/26/2013 4:00 PM,0.285,0.356,0.341,0.348,
4/26/2013 6:00 PM,0.288,0.358,0.343,0.350,
4/26/2013 8:00 PM,0.290,0.354,0.343,0.350,
4/26/2013 10:00 PM,0.288,0.349,0.341,0.348,
4/27/2013 12:00 AM,0.286,0.346,0.339,0.347,
4/27/2013 2:00 AM,0.283,0.343,0.337,0.346,
4/27/2013 4:00 AM,0.282,0.342,0.336,0.344,
4/27/2013 6:00 AM,0.281,0.341,0.334,0.343,
4/27/2013 8:00 AM,0.280,0.340,0.333,0.342,
4/27/2013 10:00 AM,0.277,0.344,0.333,0.343,
4/27/2013 12:00 PM,0.278,0.349,0.335,0.345,
4/27/2013 2:00 PM,0.282,0.354,0.337,0.347,
4/27/2013 4:00 PM,0.287,0.358,0.341,0.350,
4/27/2013 6:00 PM,0.290,0.359,0.343,0.352,
4/27/2013 8:00 PM,0.291,0.355,0.343,0.351,
4/27/2013 10:00 PM,0.289,0.350,0.341,0.350,
4/28/2013 12:00 AM,0.287,0.347,0.339,0.348,
4/28/2013 2:00 AM,0.285,0.345,0.337,0.347,
4/28/2013 4:00 AM,0.283,0.343,0.336,0.346,
4/28/2013 6:00 AM,0.282,0.342,0.335,0.345,
4/28/2013 8:00 AM,0.280,0.341,0.333,0.344,
4/28/2013 10:00 AM,0.278,0.344,0.333,0.344,
4/28/2013 12:00 PM,0.280,0.349,0.334,0.346,
4/28/2013 2:00 PM,0.282,0.353,0.335,0.348,
4/28/2013 4:00 PM,0.286,0.354,0.338,0.350,
4/28/2013 6:00 PM,0.287,0.355,0.340,0.351,
4/28/2013 8:00 PM,0.289,0.353,0.341,0.351,
4/28/2013 10:00 PM,0.288,0.347,0.339,0.350,
4/29/2013 12:00 AM,0.286,0.344,0.337,0.348,
4/29/2013 2:00 AM,0.284,0.343,0.335,0.346,
4/29/2013 4:00 AM,0.282,0.342,0.334,0.345,
4/29/2013 6:00 AM,0.281,0.340,0.332,0.343,
4/29/2013 8:00 AM,0.279,0.339,0.331,0.342,
4/29/2013 10:00 AM,0.277,0.342,0.331,0.343,
4/29/2013 12:00 PM,0.278,0.346,0.332,0.344,
4/29/2013 2:00 PM,0.281,0.350,0.334,0.346,
4/29/2013 4:00 PM,0.285,0.353,0.336,0.348,
4/29/2013 6:00 PM,0.288,0.353,0.338,0.350,
4/29/2013 8:00 PM,0.289,0.350,0.339,0.349,
4/29/2013 10:00 PM,0.288,0.347,0.337,0.348,
4/30/2013 12:00 AM,0.286,0.344,0.336,0.348,
4/30/2013 2:00 AM,0.284,0.343,0.334,0.346,
4/30/2013 4:00 AM,0.282,0.341,0.333,0.344,
4/30/2013 6:00 AM,0.281,0.339,0.332,0.343,
4/30/2013 8:00 AM,0.279,0.339,0.331,0.342,
4/30/2013 10:00 AM,0.277,0.341,0.330,0.342,
4/30/2013 12:00 PM,0.278,0.343,0.330,0.343,
4/30/2013 2:00 PM,0.282,0.347,0.331,0.343,
4/30/2013 4:00 PM,0.285,0.348,0.333,0.344,
4/30/2013 6:00 PM,0.286,0.348,0.335,0.346,
4/30/2013 8:00 PM,0.287,0.345,0.335,0.346,
4/30/2013 10:00 PM,0.284,0.341,0.332,0.343,
5/1/2013 12:00 AM,0.282,0.338,0.330,0.341,
5/1/2013 2:00 AM,0.279,0.336,0.328,0.339,
5/1/2013 4:00 AM,0.277,0.335,0.327,0.338,
5/1/2013 6:00 AM,0.276,0.333,0.326,0.336,
5/1/2013 8:00 AM,0.275,0.333,0.325,0.335,
5/1/2013 10:00 AM,0.272,0.335,0.324,0.336,
5/1/2013 12:00 PM,0.272,0.337,0.324,0.337,
5/1/2013 2:00 PM,0.276,0.341,0.327,0.338,
5/1/2013 4:00 PM,0.277,0.342,0.329,0.340,
5/1/2013 6:00 PM,0.280,0.342,0.330,0.341,
5/1/2013 8:00 PM,0.279,0.340,0.329,0.340,
5/1/2013 10:00 PM,0.277,0.337,0.327,0.338,
5/2/2013 12:00 AM,0.275,0.334,0.325,0.336,
5/2/2013 2:00 AM,0.273,0.332,0.324,0.335,
5/2/2013 4:00 AM,0.272,0.331,0.322,0.334,
5/2/2013 6:00 AM,0.271,0.330,0.321,0.333,
5/2/2013 8:00 AM,0.271,0.330,0.320,0.332,
5/2/2013 10:00 AM,0.268,0.332,0.319,0.333,
5/2/2013 12:00 PM,0.269,0.337,0.320,0.335,
5/2/2013 2:00 PM,0.271,0.341,0.324,0.336,
5/2/2013 4:00 PM,0.276,0.344,0.327,0.339,
5/2/2013 6:00 PM,0.278,0.344,0.329,0.341,
5/2/2013 8:00 PM,0.279,0.342,0.329,0.340,
5/2/2013 10:00 PM,0.277,0.337,0.327,0.338,
5/3/2013 12:00 AM,0.274,0.334,0.324,0.336,
5/3/2013 2:00 AM,0.272,0.332,0.323,0.335,
5/3/2013 4:00 AM,0.271,0.331,0.321,0.333,
5/3/2013 6:00 AM,0.270,0.330,0.320,0.332,
5/3/2013 8:00 AM,0.268,0.329,0.319,0.331,
5/3/2013 10:00 AM,0.266,0.332,0.318,0.332,
5/3/2013 12:00 PM,0.266,0.336,0.318,0.334,
5/3/2013 2:00 PM,0.270,0.341,0.321,0.336,
5/3/2013 4:00 PM,0.274,0.344,0.324,0.338,
5/3/2013 6:00 PM,0.277,0.344,0.326,0.340,
5/3/2013 8:00 PM,0.279,0.342,0.327,0.341,
5/3/2013 10:00 PM,0.278,0.338,0.326,0.339,
5/4/2013 12:00 AM,0.275,0.336,0.323,0.337,
5/4/2013 2:00 AM,0.273,0.333,0.322,0.336,
5/4/2013 4:00 AM,0.271,0.332,0.320,0.335,
5/4/2013 6:00 AM,0.270,0.332,0.319,0.333,
5/4/2013 8:00 AM,0.269,0.331,0.318,0.333,
5/4/2013 10:00 AM,0.267,0.333,0.316,0.334,
5/4/2013 12:00 PM,0.269,0.336,0.317,0.335,
5/4/2013 2:00 PM,0.271,0.341,0.320,0.337,
5/4/2013 4:00 PM,0.276,0.344,0.322,0.339,
5/4/2013 6:00 PM,0.278,0.343,0.324,0.341,
5/4/2013 8:00 PM,0.278,0.341,0.323,0.341,
5/4/2013 10:00 PM,0.276,0.338,0.323,0.339,
5/5/2013 12:00 AM,0.275,0.336,0.321,0.338,
5/5/2013 2:00 AM,0.276,0.335,0.321,0.337,
5/5/2013 4:00 AM,0.274,0.334,0.319,0.337,
5/5/2013 6:00 AM,0.274,0.333,0.318,0.336,
5/5/2013 8:00 AM,0.272,0.333,0.317,0.336,
5/5/2013 10:00 AM,0.271,0.333,0.316,0.336,
5/5/2013 12:00 PM,0.270,0.336,0.315,0.336,
5/5/2013 2:00 PM,0.272,0.340,0.318,0.337,
5/5/2013 4:00 PM,0.276,0.343,0.319,0.340,
5/5/2013 6:00 PM,0.278,0.343,0.321,0.341,
5/5/2013 8:00 PM,0.279,0.342,0.322,0.341,
5/5/2013 10:00 PM,0.277,0.338,0.322,0.340,
5/6/2013 12:00 AM,0.275,0.336,0.320,0.338,
5/6/2013 2:00 AM,0.273,0.335,0.318,0.337,
5/6/2013 4:00 AM,0.272,0.334,0.317,0.337,
5/6/2013 6:00 AM,0.271,0.333,0.317,0.336,
5/6/2013 8:00 AM,0.271,0.333,0.316,0.335,
5/6/2013 10:00 AM,0.270,0.333,0.315,0.335,
5/6/2013 12:00 PM,0.269,0.336,0.313,0.336,
5/6/2013 2:00 PM,0.272,0.338,0.316,0.337,
5/6/2013 4:00 PM,0.273,0.339,0.316,0.338,
5/6/2013 6:00 PM,0.275,0.340,0.317,0.339,
5/6/2013 8:00 PM,0.277,0.338,0.318,0.338,
5/6/2013 10:00 PM,0.275,0.336,0.317,0.338,
5/7/2013 12:00 AM,0.274,0.335,0.316,0.337,
5/7/2013 2:00 AM,0.273,0.333,0.315,0.335,
5/7/2013 4:00 AM,0.272,0.332,0.314,0.334,
5/7/2013 6:00 AM,0.271,0.331,0.313,0.333,
5/7/2013 8:00 AM,0.270,0.331,0.313,0.332,
5/7/2013 10:00 AM,0.268,0.332,0.311,0.333,
5/7/2013 12:00 PM,0.269,0.334,0.311,0.334,
5/7/2013 2:00 PM,0.271,0.335,0.312,0.335,
5/7/2013 4:00 PM,0.271,0.336,0.313,0.335,
5/7/2013 6:00 PM,0.271,0.337,0.313,0.337,
5/7/2013 8:00 PM,0.273,0.337,0.315,0.337,
5/7/2013 10:00 PM,0.272,0.334,0.315,0.336,
5/8/2013 12:00 AM,0.271,0.332,0.314,0.335,
5/8/2013 2:00 AM,0.271,0.331,0.313,0.333,
5/8/2013 4:00 AM,0.269,0.330,0.313,0.332,
5/8/2013 6:00 AM,0.268,0.329,0.312,0.331,
5/8/2013 8:00 AM,0.266,0.328,0.311,0.330,
5/8/2013 10:00 AM,0.264,0.330,0.308,0.331,
5/8/2013 12:00 PM,0.265,0.333,0.309,0.332,
5/8/2013 2:00 PM,0.268,0.336,0.311,0.333,
5/8/2013 4:00 PM,0.271,0.338,0.314,0.336,
5/8/2013 6:00 PM,0.273,0.336,0.316,0.336,
5/8/2013 8:00 PM,0.272,0.336,0.313,0.336,
5/8/2013 10:00 PM,0.272,0.333,0.314,0.335,
5/9/2013 12:00 AM,0.270,0.331,0.313,0.333,
5/9/2013 2:00 AM,0.268,0.329,0.311,0.332,
5/9/2013 4:00 AM,0.266,0.328,0.310,0.330,
5/9/2013 6:00 AM,0.265,0.327,0.309,0.330,
5/9/2013 8:00 AM,0.264,0.327,0.308,0.329,
5/9/2013 10:00 AM,0.263,0.328,0.306,0.330,
5/9/2013 12:00 PM,0.263,0.331,0.305,0.331,
5/9/2013 2:00 PM,0.266,0.335,0.307,0.333,
5/9/2013 4:00 PM,0.269,0.338,0.309,0.336,
5/9/2013 6:00 PM,0.271,0.339,0.311,0.337,
5/9/2013 8:00 PM,0.272,0.337,0.312,0.337,
5/9/2013 10:00 PM,0.270,0.333,0.312,0.336,
5/10/2013 12:00 AM,0.267,0.331,0.310,0.335,
5/10/2013 2:00 AM,0.266,0.329,0.309,0.333,
5/10/2013 4:00 AM,0.264,0.328,0.308,0.332,
5/10/2013 6:00 AM,0.263,0.327,0.306,0.331,
5/10/2013 8:00 AM,0.261,0.326,0.306,0.330,
5/10/2013 10:00 AM,0.260,0.328,0.302,0.331,
5/10/2013 12:00 PM,0.261,0.331,0.302,0.332,
5/10/2013 2:00 PM,0.264,0.335,0.304,0.334,
5/10/2013 4:00 PM,0.267,0.337,0.306,0.336,
5/10/2013 6:00 PM,0.269,0.338,0.308,0.337,
5/10/2013 8:00 PM,0.269,0.337,0.309,0.337,
5/10/2013 10:00 PM,0.267,0.333,0.309,0.336,
5/11/2013 12:00 AM,0.264,0.330,0.308,0.333,
5/11/2013 2:00 AM,0.262,0.328,0.306,0.332,
5/11/2013 4:00 AM,0.261,0.327,0.305,0.331,
5/11/2013 6:00 AM,0.259,0.326,0.304,0.330,
5/11/2013 8:00 AM,0.257,0.324,0.303,0.329,
5/11/2013 10:00 AM,0.254,0.326,0.299,0.329,
5/11/2013 12:00 PM,0.254,0.330,0.297,0.330,
5/11/2013 2:00 PM,0.258,0.333,0.299,0.332,
5/11/2013 4:00 PM,0.262,0.337,0.301,0.335,
5/11/2013 6:00 PM,0.263,0.337,0.303,0.336,
5/11/2013 8:00 PM,0.265,0.336,0.304,0.336,
5/11/2013 10:00 PM,0.263,0.332,0.306,0.335,
5/12/2013 12:00 AM,0.260,0.329,0.304,0.332,
5/12/2013 2:00 AM,0.258,0.328,0.303,0.332,
5/12/2013 4:00 AM,0.256,0.326,0.303,0.330,
5/12/2013 6:00 AM,0.254,0.324,0.301,0.328,
5/12/2013 8:00 AM,0.252,0.323,0.299,0.327,
5/12/2013 10:00 AM,0.249,0.325,0.294,0.328,
5/12/2013 12:00 PM,0.249,0.329,0.293,0.329,
5/12/2013 2:00 PM,0.254,0.332,0.295,0.331,
5/12/2013 4:00 PM,0.258,0.336,0.297,0.333,
5/12/2013 6:00 PM,0.260,0.337,0.299,0.336,
5/12/2013 8:00 PM,0.261,0.335,0.301,0.335,
5/12/2013 10:00 PM,0.259,0.331,0.303,0.333,
5/13/2013 12:00 AM,0.256,0.329,0.301,0.332,
5/13/2013 2:00 AM,0.254,0.327,0.300,0.331,
5/13/2013 4:00 AM,0.251,0.325,0.299,0.330,
5/13/2013 6:00 AM,0.249,0.323,0.298,0.328,
5/13/2013 8:00 AM,0.247,0.322,0.296,0.327,
5/13/2013 10:00 AM,0.243,0.324,0.290,0.327,
5/13/2013 12:00 PM,0.244,0.327,0.289,0.328,
5/13/2013 2:00 PM,0.249,0.331,0.291,0.330,
5/13/2013 4:00 PM,0.252,0.335,0.294,0.333,
5/13/2013 6:00 PM,0.253,0.335,0.295,0.335,
5/13/2013 8:00 PM,0.254,0.333,0.297,0.335,
5/13/2013 10:00 PM,0.252,0.329,0.299,0.332,
5/14/2013 12:00 AM,0.249,0.326,0.298,0.331,
5/14/2013 2:00 AM,0.246,0.323,0.297,0.329,
5/14/2013 4:00 AM,0.244,0.322,0.294,0.327,
5/14/2013 6:00 AM,0.242,0.321,0.294,0.326,
5/14/2013 8:00 AM,0.240,0.320,0.292,0.324,
5/14/2013 10:00 AM,0.236,0.321,0.287,0.324,
5/14/2013 12:00 PM,0.236,0.323,0.285,0.326,
5/14/2013 2:00 PM,0.237,0.327,0.285,0.328,
5/14/2013 4:00 PM,0.240,0.330,0.288,0.330,
5/14/2013 6:00 PM,0.242,0.331,0.290,0.331,
5/14/2013 8:00 PM,0.244,0.330,0.294,0.331,
5/14/2013 10:00 PM,0.242,0.326,0.295,0.330,
5/15/2013 12:00 AM,0.239,0.323,0.292,0.328,
5/15/2013 2:00 AM,0.237,0.321,0.290,0.327,
5/15/2013 4:00 AM,0.235,0.320,0.290,0.326,
5/15/2013 6:00 AM,0.232,0.318,0.289,0.324,
5/15/2013 8:00 AM,0.231,0.317,0.287,0.323,
5/15/2013 10:00 AM,0.229,0.318,0.283,0.323,
5/15/2013 12:00 PM,0.227,0.320,0.280,0.324,
5/15/2013 2:00 PM,0.227,0.323,0.281,0.325,
