,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
0,101.03168055555555,8.128236111111113,113.226,21.076999999999998,22.38,-2.97,14.794081557226606,6.007022537028449,2014-03-31 00:00:00,H,1,M1,H,C
1,98.74293888888884,10.466016666666667,116.17,25.578000000000003,70.993,-0.461,10.613256959424042,6.053566769352235,2014-04-30 00:00:00,H,1,M1,H,C
2,69.99610215053761,18.293973118279563,114.49799999999999,40.063,24.458000000000002,2.046,26.432642511399763,8.713968637198816,2014-05-31 00:00:00,H,1,M1,H,C
3,44.24268907563026,23.295294117647053,117.815,41.06100000000001,17.472,4.553,27.462716390065076,9.364043736053777,2014-06-30 00:00:00,H,1,M1,H,C
4,95.8338333333333,7.757222222222222,118.179,23.171,36.055,-4.968999999999999,14.783725095189983,6.634223404082339,2014-03-31 00:00:00,H,1,M1,H,C
5,91.47261666666675,11.439161111111119,118.179,29.668000000000003,47.515,-1.4380000000000002,18.10193192667305,7.743520705598457,2014-04-30 00:00:00,H,1,M1,H,C
6,66.0920483870968,21.233715053763444,118.179,54.531000000000006,22.714000000000002,1.082,26.708824171207006,12.511321048467503,2014-05-31 00:00:00,H,1,M1,H,C
7,41.66996638655463,26.715285714285717,118.179,56.016999999999996,17.199,3.096,28.899581037058386,14.175306237174404,2014-06-30 00:00:00,H,1,M1,H,C
8,93.0671805555555,7.457527777777774,107.79799999999999,20.584,25.798000000000002,-3.989,13.526695841017492,5.68332446098189,2014-03-31 00:00:00,H,1,M2,H,C
9,91.07803333333332,9.72783333333333,112.61,23.586,57.677,-1.4769999999999999,13.373018056632436,5.901822184762828,2014-04-30 00:00:00,H,1,M2,H,C
10,68.04053225806453,17.71619354838709,110.882,40.068000000000005,21.019000000000002,1.536,26.017963383775783,8.897115424138596,2014-05-31 00:00:00,H,1,M2,H,C
11,37.74762184873949,22.682386554621846,111.316,40.567,14.058,3.5439999999999996,26.44088403769384,9.59613992408039,2014-06-30 00:00:00,H,1,M2,H,C
12,89.66020833333336,8.884305555555555,108.62,27.642,30.151,-4.938,15.744253040428877,8.275240354177354,2014-03-31 00:00:00,H,1,M2,H,C
13,97.21149999999997,11.567372222222225,112.6,33.635,58.326,-1.42,13.541704230608408,8.528887879345218,2014-04-30 00:00:00,H,1,M2,H,C
14,72.74149462365583,19.231053763440855,111.426,49.088,25.328000000000003,1.594,25.21122371918704,10.946818634841863,2014-05-31 00:00:00,H,1,M2,H,C
15,46.367033613445386,26.048831932773115,109.431,86.29,19.701,3.602,26.35412113140998,15.545928983324368,2014-06-30 00:00:00,H,1,M2,H,C
16,93.52770833333335,9.332958333333332,109.15,26.671999999999997,28.194000000000003,-2.951,15.0502178435757,7.521149999042606,2014-03-31 00:00:00,H,1,M2,H,C
17,98.04520555555555,11.996688888888892,116.741,33.66,66.544,-0.43,9.899884536145992,7.901151911131749,2014-04-30 00:00:00,H,1,M2,H,C
18,78.02769354838713,19.603258064516133,118.75399999999999,47.093,34.908,2.593,20.09767567864381,9.995335697514902,2014-05-31 00:00:00,H,1,M2,H,C
19,52.50082352941176,24.850327731092438,110.45299999999999,48.086000000000006,24.085,4.606,23.332926663963207,10.99239577078229,2014-06-30 00:00:00,H,1,M2,H,C
20,92.38640277777779,8.917000000000002,110.585,23.101,31.096999999999998,-1.47,14.714455872515787,6.825882121190954,2014-03-31 00:00:00,H,2,M1,H,C
21,96.25356666666654,12.644916666666667,112.773,34.594,56.972,0.038,14.02212669582507,8.411398057607279,2014-04-30 00:00:00,H,2,M1,H,C
22,72.1748978494623,20.42487634408603,111.90299999999999,46.06,27.765,4.056,24.16220790375162,10.155916556546984,2014-05-31 00:00:00,H,2,M1,H,C
23,44.786848,26.136791999999996,109.699,48.549,16.15,5.562,23.859377952392183,11.390128289016712,2014-06-30 00:00:00,H,2,M1,H,C
24,99.4603472222222,7.998208333333332,111.235,21.085,35.374,-0.43700000000000006,12.83410755404245,5.399089354455472,2014-03-31 00:00:00,H,2,M2,H,C
25,102.82472222222226,10.74403888888889,111.648,25.086,82.17,0.565,6.791517097985882,5.886302113712657,2014-04-30 00:00:00,H,2,M2,H,C
26,88.74519354838702,17.969381720430086,111.235,35.083,46.368,4.571000000000001,17.33995983240383,7.119032556463629,2014-05-31 00:00:00,H,2,M2,H,C
27,55.57896923076923,23.23012307692306,110.819,37.580999999999996,34.047,7.074,19.305782022166753,7.399560463602062,2014-06-30 00:00:00,H,2,M2,H,C
28,104.83477083333332,8.767041666666668,118.179,23.671999999999997,45.641000000000005,-2.447,16.663497463387454,7.734511143991249,2013-10-31 00:00:00,H,1,M1,H,C
29,112.83690055248628,2.934502762430931,118.179,19.167,88.179,-6.484,8.246614681256744,6.227954963642484,2013-11-30 00:00:00,H,1,M1,H,C
30,112.71907526881711,-4.133274193548387,118.179,11.142000000000001,101.29299999999999,-14.068,2.8280053910152274,3.812317807443661,2013-12-31 00:00:00,H,1,M1,H,C
31,112.24287096774185,-3.2448978494623657,118.179,0.578,107.191,-8.505,2.2001719796493475,2.442204656474036,2014-01-31 00:00:00,H,1,M1,H,C
32,113.98868452380954,2.3188928571428575,118.179,21.67,91.194,-5.979,5.403345448661941,5.170618977569917,2014-02-28 00:00:00,H,1,M1,H,C
33,112.40326548672577,6.35321238938053,118.179,22.671,45.641000000000005,-4.968999999999999,10.812169060183917,6.874457002519399,2014-03-31 00:00:00,H,1,M1,H,C
