,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
0,70.90833333333335,14.318999999999997,102.98200000000001,21.076999999999998,22.38,5.053999999999999,37.60645600780091,6.782897522445699,2014-03-20 00:00:00,H,1,M1,H,C
1,105.60949999999998,5.804833333333334,109.322,12.068,99.213,0.542,4.052179993534851,4.423007999842038,2014-03-21 00:00:00,H,1,M1,H,C
2,103.66233333333334,7.140499999999999,107.991,14.071,95.82799999999999,2.046,5.381093482431406,5.5285765527846324,2014-03-22 00:00:00,H,1,M1,H,C
3,104.40183333333333,5.885833333333333,112.79899999999999,16.073,93.85700000000001,-2.97,7.804872950065859,8.231706588956307,2014-03-23 00:00:00,H,1,M1,H,C
4,102.145,8.141166666666667,111.074,17.575,90.851,-1.464,8.355324673524049,8.130360715655035,2014-03-24 00:00:00,H,1,M1,H,C
5,100.415,9.560666666666668,109.322,18.576,88.814,0.04,8.59133856858167,7.882425075233298,2014-03-25 00:00:00,H,1,M1,H,C
6,103.26366666666667,8.310833333333333,106.645,12.569,99.69,5.053999999999999,2.950749238187469,3.2117190672078797,2014-03-26 00:00:00,H,1,M1,H,C
7,105.315,6.807333333333333,108.436,14.071,98.25399999999999,2.046,3.725664933941442,4.3187127094386195,2014-03-27 00:00:00,H,1,M1,H,C
8,103.31566666666667,8.058166666666667,110.20100000000001,18.075,93.85700000000001,1.043,6.4120383550528866,6.832348100519079,2014-03-28 00:00:00,H,1,M1,H,C
9,97.48383333333334,11.816666666666668,105.28399999999999,18.576,88.814,6.056,6.583871700349503,4.758850519470712,2014-03-29 00:00:00,H,1,M1,H,C
10,106.29,5.805499999999999,112.79899999999999,9.062999999999999,101.581,2.046,3.949905517857104,2.429719057833642,2014-03-30 00:00:00,H,1,M1,H,C
11,109.57,5.888333333333333,113.226,13.07,103.90799999999999,0.542,3.622521166259803,4.792910291948585,2014-03-31 00:00:00,H,1,M1,H,C
12,106.86816666666665,4.886666666666667,114.49799999999999,9.564,87.785,2.548,9.84194239805685,2.6644394282225052,2014-04-01 00:00:00,H,1,M1,H,C
13,96.92483333333332,5.887999999999999,104.368,14.071,86.23,0.542,6.4839090806909185,5.375190489647787,2014-04-02 00:00:00,H,1,M1,H,C
14,97.69299999999998,6.139166666666667,111.074,11.567,87.785,1.043,8.827425626987896,3.887258695619147,2014-04-03 00:00:00,H,1,M1,H,C
