J2M2,Port 1,Port 2,Port 3,Port 4,Port 5
1403 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC
11/14/2013 8:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2013 10:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 12:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 2:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 4:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 6:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 8:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 10:00 AM,-0.033,0.006,-0.044,-0.085,#N/A
11/15/2013 12:00 PM,0.033,0.070,0.030,-0.007,#N/A
11/15/2013 2:00 PM,0.035,0.070,0.034,-0.004,#N/A
11/15/2013 4:00 PM,0.036,0.064,0.029,-0.010,#N/A
11/15/2013 6:00 PM,0.037,0.057,0.021,-0.016,#N/A
11/15/2013 8:00 PM,0.036,0.053,0.019,-0.018,#N/A
11/15/2013 10:00 PM,0.038,0.051,0.021,-0.018,#N/A
11/16/2013 12:00 AM,0.037,0.048,0.019,-0.019,#N/A
11/16/2013 2:00 AM,0.036,0.047,0.018,-0.019,#N/A
11/16/2013 4:00 AM,0.035,0.046,0.018,-0.019,#N/A
11/16/2013 6:00 AM,0.052,0.050,0.057,-0.008,#N/A
11/16/2013 8:00 AM,0.053,0.051,0.052,-0.007,#N/A
11/16/2013 10:00 AM,0.056,0.056,0.035,0.006,#N/A
11/16/2013 12:00 PM,0.059,0.057,0.042,0.012,#N/A
11/16/2013 2:00 PM,0.062,0.052,0.044,0.015,#N/A
11/16/2013 4:00 PM,0.060,0.045,0.044,0.015,#N/A
11/16/2013 6:00 PM,0.053,0.034,0.030,0.011,#N/A
11/16/2013 8:00 PM,0.051,0.028,0.023,0.007,#N/A
11/16/2013 10:00 PM,0.050,0.026,0.022,0.006,#N/A
11/17/2013 12:00 AM,0.049,0.023,0.018,0.004,#N/A
11/17/2013 2:00 AM,0.047,0.019,0.013,0.002,#N/A
11/17/2013 4:00 AM,0.046,0.018,0.012,0.001,#N/A
11/17/2013 6:00 AM,0.046,0.016,0.009,0.000,#N/A
11/17/2013 8:00 AM,0.046,0.017,0.013,0.000,#N/A
11/17/2013 10:00 AM,0.052,0.030,0.030,0.006,#N/A
11/17/2013 12:00 PM,0.058,0.037,0.042,0.012,#N/A
11/17/2013 2:00 PM,0.062,0.038,0.046,0.015,#N/A
11/17/2013 4:00 PM,0.058,0.032,0.042,0.013,#N/A
11/17/2013 6:00 PM,0.051,0.019,0.024,0.008,#N/A
11/17/2013 8:00 PM,0.047,0.011,0.014,0.004,#N/A
11/17/2013 10:00 PM,0.044,0.006,0.006,0.000,#N/A
11/18/2013 12:00 AM,0.044,0.005,0.006,-0.001,#N/A
11/18/2013 2:00 AM,0.044,0.006,0.006,-0.001,#N/A
11/18/2013 4:00 AM,0.044,0.005,0.006,-0.002,#N/A
11/18/2013 6:00 AM,0.044,0.005,0.006,-0.002,#N/A
11/18/2013 8:00 AM,0.044,0.005,0.006,-0.002,#N/A
11/18/2013 10:00 AM,0.050,0.017,0.022,0.003,#N/A
11/18/2013 12:00 PM,0.054,0.024,0.032,0.008,#N/A
11/18/2013 2:00 PM,0.060,0.030,0.044,0.013,#N/A
11/18/2013 4:00 PM,0.058,0.026,0.042,0.013,#N/A
11/18/2013 6:00 PM,0.050,0.011,0.023,0.008,#N/A
11/18/2013 8:00 PM,0.046,0.004,0.012,0.004,#N/A
11/18/2013 10:00 PM,0.044,-0.001,0.005,0.000,#N/A
11/19/2013 12:00 AM,0.043,-0.003,0.003,-0.002,#N/A
11/19/2013 2:00 AM,0.042,-0.005,0.000,-0.004,#N/A
11/19/2013 4:00 AM,0.042,-0.006,-0.002,-0.005,#N/A
11/19/2013 6:00 AM,0.041,-0.007,-0.004,-0.006,#N/A
11/19/2013 8:00 AM,0.041,-0.006,-0.001,-0.006,#N/A
11/19/2013 10:00 AM,0.049,0.015,0.023,0.001,#N/A
11/19/2013 12:00 PM,0.055,0.024,0.038,0.009,#N/A
11/19/2013 2:00 PM,0.058,0.025,0.041,0.012,#N/A
