J1M2,Port 1,Port 2,Port 3,Port 4,Port 5
1403 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC
11/14/2013 8:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2013 10:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 12:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 2:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 4:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 6:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 8:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 10:00 AM,#N/A,-0.398,-0.406,-0.435,#N/A
11/15/2013 12:00 PM,0.044,0.103,0.099,0.081,#N/A
11/15/2013 2:00 PM,0.046,0.105,0.101,0.083,#N/A
11/15/2013 4:00 PM,0.045,0.105,0.099,0.086,#N/A
11/15/2013 6:00 PM,0.043,0.104,0.097,0.085,#N/A
11/15/2013 8:00 PM,0.042,0.102,0.096,0.084,#N/A
11/15/2013 10:00 PM,0.040,0.102,0.097,0.085,#N/A
11/16/2013 12:00 AM,0.038,0.102,0.096,0.084,#N/A
11/16/2013 2:00 AM,0.038,0.101,0.096,0.084,#N/A
11/16/2013 4:00 AM,0.038,0.101,0.096,0.084,#N/A
11/16/2013 6:00 AM,0.038,0.099,0.094,0.083,#N/A
11/16/2013 8:00 AM,0.038,0.099,0.095,0.082,#N/A
11/16/2013 10:00 AM,0.042,0.102,0.099,0.085,#N/A
11/16/2013 12:00 PM,0.045,0.105,0.100,0.086,#N/A
11/16/2013 2:00 PM,0.049,0.109,0.101,0.089,#N/A
11/16/2013 4:00 PM,0.050,0.110,0.101,0.090,#N/A
11/16/2013 6:00 PM,0.044,0.107,0.096,0.089,#N/A
11/16/2013 8:00 PM,0.042,0.105,0.094,0.087,#N/A
11/16/2013 10:00 PM,0.040,0.104,0.093,0.086,#N/A
11/17/2013 12:00 AM,0.039,0.102,0.091,0.085,#N/A
11/17/2013 2:00 AM,0.038,0.102,0.090,0.084,#N/A
11/17/2013 4:00 AM,0.036,0.100,0.088,0.083,#N/A
11/17/2013 6:00 AM,0.034,0.099,0.086,0.082,#N/A
11/17/2013 8:00 AM,0.034,0.099,0.088,0.082,#N/A
11/17/2013 10:00 AM,0.040,0.102,0.094,0.085,#N/A
11/17/2013 12:00 PM,0.046,0.106,0.098,0.088,#N/A
11/17/2013 2:00 PM,0.050,0.109,0.099,0.089,#N/A
11/17/2013 4:00 PM,0.050,0.109,0.099,0.089,#N/A
11/17/2013 6:00 PM,0.043,0.105,0.094,0.087,#N/A
11/17/2013 8:00 PM,0.039,0.102,0.090,0.084,#N/A
11/17/2013 10:00 PM,0.035,0.099,0.087,0.082,#N/A
11/18/2013 12:00 AM,0.033,0.098,0.086,0.081,#N/A
11/18/2013 2:00 AM,0.033,0.098,0.086,0.081,#N/A
11/18/2013 4:00 AM,0.033,0.098,0.086,0.081,#N/A
11/18/2013 6:00 AM,0.032,0.098,0.086,0.080,#N/A
11/18/2013 8:00 AM,0.032,0.097,0.086,0.080,#N/A
11/18/2013 10:00 AM,0.038,0.100,0.091,0.082,#N/A
11/18/2013 12:00 PM,0.044,0.105,0.096,0.086,#N/A
11/18/2013 2:00 PM,0.051,0.108,0.100,0.087,#N/A
11/18/2013 4:00 PM,0.052,0.110,0.099,0.089,#N/A
11/18/2013 6:00 PM,0.045,0.105,0.095,0.086,#N/A
11/18/2013 8:00 PM,0.038,0.101,0.089,0.083,#N/A
11/18/2013 10:00 PM,0.035,0.099,0.087,0.082,#N/A
11/19/2013 12:00 AM,0.033,0.097,0.086,0.080,#N/A
11/19/2013 2:00 AM,0.031,0.096,0.083,0.079,#N/A
11/19/2013 4:00 AM,0.030,0.095,0.082,0.078,#N/A
11/19/2013 6:00 AM,0.029,0.094,0.082,0.077,#N/A
11/19/2013 8:00 AM,0.029,0.094,0.082,0.078,#N/A
11/19/2013 10:00 AM,0.040,0.099,0.093,0.082,#N/A
11/19/2013 12:00 PM,0.047,0.105,0.097,0.086,#N/A
11/19/2013 2:00 PM,0.051,0.107,0.099,0.088,#N/A
11/19/2013 4:00 PM,0.051,0.107,0.098,0.088,#N/A
